Count,Drug Combo (with ATC Names)
5594,"M01A (ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS), M03B (MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS), N02A (OPIOIDS)"
4798,"A02B (DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)), M01A (ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS), N02A (OPIOIDS)"
2977,"M01A (ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS), N02A (OPIOIDS), N02B (OTHER ANALGESICS AND ANTIPYRETICS)"
2700,"M01A (ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS), N02A (OPIOIDS), N06A (ANTIDEPRESSANTS)"
2658,"M03B (MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS), N02A (OPIOIDS), N02B (OTHER ANALGESICS AND ANTIPYRETICS)"
2171,"N02A (OPIOIDS), N02B (OTHER ANALGESICS AND ANTIPYRETICS), N06A (ANTIDEPRESSANTS)"
2122,"N02A (OPIOIDS), N05B (ANXIOLYTICS), N06A (ANTIDEPRESSANTS)"
1918,"J01C (BETA-LACTAM ANTIBACTERIALS, PENICILLINS), M01A (ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS), N02A (OPIOIDS)"
1897,"M03B (MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS), N02A (OPIOIDS), N06A (ANTIDEPRESSANTS)"
1574,"A02B (DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)), N02A (OPIOIDS), N06A (ANTIDEPRESSANTS)"
